ville,gouvernorat,latitude,longitude,date,pm25,pm10,no2,o3,co,so2,aqi
Tunis,Tunis,36.8065,10.1815,2026-04-23,12,21,4,88,0.16,3,73
Sfax,Sfax,34.7406,10.7603,2026-04-23,14,22,2,93,0.14,2,55
Sousse,Sousse,35.8245,10.6346,2026-04-23,12,19,2,95,0.14,1,55
Bizerte,Bizerte,37.2744,9.8739,2026-04-23,9,17,3,98,0.14,2,58
Gabes,Gabes,33.8815,10.0982,2026-04-23,14,22,1,90,0.13,1,49
Kairouan,Kairouan,35.6781,10.0963,2026-04-23,13,19,2,79,0.14,1,56
Gafsa,Gafsa,34.425,8.7842,2026-04-23,10,17,1,85,0.12,1,44
Ariana,Ariana,36.8625,10.1956,2026-04-23,12,21,4,88,0.16,3,73
Ben Arous,Ben Arous,36.7533,10.2189,2026-04-23,12,21,8,86,0.16,4,70
Monastir,Monastir,35.778,10.8262,2026-04-23,11,20,1,101,0.13,1,52
Medenine,Medenine,33.3548,10.5055,2026-04-23,13,25,1,87,0.13,1,52
Kasserine,Kasserine,35.1676,8.8365,2026-04-23,10,17,1,72,0.12,1,44
Tataouine,Tataouine,32.9297,10.4517,2026-04-23,16,31,1,86,0.12,1,53
Tozeur,Tozeur,33.9197,8.1335,2026-04-23,15,38,1,85,0.12,1,49
Nabeul,Nabeul,36.4513,10.7357,2026-04-23,10,16,1,90,0.14,1,54
Mahdia,Mahdia,35.5047,11.0622,2026-04-23,13,21,1,99,0.13,0,52
Beja,Beja,36.7256,9.1817,2026-04-23,13,20,3,74,0.14,1,65
Jendouba,Jendouba,36.5011,8.7803,2026-04-23,18,25,3,74,0.15,1,67
Le Kef,Le Kef,36.1675,8.7048,2026-04-23,15,22,3,74,0.14,1,58
Siliana,Siliana,36.0844,9.3708,2026-04-23,16,23,2,76,0.14,1,61
Zaghouan,Zaghouan,36.4028,10.1433,2026-04-23,14,22,4,81,0.15,2,64
Manouba,Manouba,36.8081,10.0956,2026-04-23,13,22,4,85,0.16,2,75
Kebili,Kebili,33.705,8.969,2026-04-23,14,40,1,89,0.12,1,54
Sidi Bouzid,Sidi Bouzid,35.0381,9.4858,2026-04-23,11,17,1,84,0.13,1,50
